City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Qaanaaq,GL,2022-02-03 04:35:27,77.484,-69.3632,-11.69,81,100,6.93
124,Souillac,MU,2022-02-03 04:31:56,-20.5167,57.5167,80.98,89,75,27.63
125,Hilo,US,2022-02-03 04:35:28,19.7297,-155.09,73.4,82,100,4.61
126,Gondar,ET,2022-02-03 04:35:28,12.6,37.4667,61.41,57,94,5.26
127,Vostok,RU,2022-02-03 04:35:29,46.4856,135.8833,3.56,85,100,9.04
128,Pamekasan,ID,2022-02-03 04:35:29,-7.1568,113.4746,85.46,68,94,5.88
129,Garowe,SO,2022-02-03 04:35:30,8.4054,48.4845,68.45,67,0,12.17
130,Honningsvag,NO,2022-02-03 04:35:30,70.9821,25.9704,15.33,67,100,13.8
131,Nola,IT,2022-02-03 04:35:31,40.922,14.5329,54.55,54,0,7.0
132,Cockburn Town,TC,2022-02-03 04:35:31,21.4612,-71.1419,72.28,82,100,17.07
133,Mgandu,TZ,2022-02-03 04:35:32,-5.95,34.1333,61.61,92,95,3.47
134,Saint-Joseph,RE,2022-02-03 04:35:32,-21.3667,55.6167,82.78,93,100,33.89
135,Oshakati,NA,2022-02-03 04:35:33,-17.7833,15.6833,68.59,53,18,8.41
136,Ponta Do Sol,PT,2022-02-03 04:36:33,32.6667,-17.1,65.03,73,99,10.8
137,Rio Gallegos,AR,2022-02-03 04:36:34,-51.6226,-69.2181,42.85,87,20,1.14
138,Lompoc,US,2022-02-03 04:36:34,34.6391,-120.4579,54.01,48,0,3.44
139,Ust-Kuyga,RU,2022-02-03 04:36:35,70.0167,135.6,-27.96,98,68,6.06
140,Cap Malheureux,MU,2022-02-03 04:36:35,-19.9842,57.6142,81.09,91,100,18.01
141,Puerto Ayora,EC,2022-02-03 04:36:36,-0.7393,-90.3518,74.55,93,1,3.0
142,Port Keats,AU,2022-02-03 04:36:36,-14.25,129.55,85.05,72,42,12.39
143,Pacific Grove,US,2022-02-03 04:32:11,36.6177,-121.9166,54.57,43,0,1.01
144,Rorvik,NO,2022-02-03 04:36:37,64.8621,11.2373,23.23,89,97,21.36
145,Raudeberg,NO,2022-02-03 04:36:38,61.9875,5.1352,35.87,74,100,3.0
146,Lorengau,PG,2022-02-03 04:36:38,-2.0226,147.2712,79.18,81,100,4.74
147,Victoria,HK,2022-02-03 04:34:52,22.2855,114.1577,60.24,83,100,4.0
