City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Boralday,KZ,2022-02-04 06:16:23,43.3578,76.8594,22.86,93,100,2.24
88,Cherskiy,RU,2022-02-04 06:16:23,68.75,161.3,-31.81,99,31,2.93
89,Svetlaya,RU,2022-02-04 06:16:24,46.5389,138.3297,18.37,54,37,3.27
90,Luruaco,CO,2022-02-04 06:17:24,10.6092,-75.1431,80.22,86,0,9.82
91,Hvide Sande,DK,2022-02-04 06:17:24,56.0045,8.1294,45.18,93,100,26.75
92,Lodja,CD,2022-02-04 06:17:25,-3.4833,23.4333,68.99,90,100,1.03
93,Torbay,CA,2022-02-04 06:17:25,47.6666,-52.7314,40.26,91,100,19.57
94,Shitanjing,CN,2022-02-04 06:17:26,39.2342,106.3439,19.71,27,1,1.81
95,Freilassing,DE,2022-02-04 06:17:27,47.85,12.9833,39.56,97,20,3.44
96,Bluefield,US,2022-02-04 06:17:27,37.2698,-81.2223,58.14,81,75,3.0
97,San Vicente De Canete,PE,2022-02-04 06:17:28,-13.0751,-76.3835,70.79,81,42,2.77
98,Kon Tum,VN,2022-02-04 06:17:28,14.35,108.0,84.74,40,24,10.31
99,Saint-Joseph,RE,2022-02-04 06:17:29,-21.3667,55.6167,79.18,89,100,27.22
100,Kayerkan,RU,2022-02-04 06:17:29,69.3497,87.7602,-11.72,97,59,6.15
101,Mizan Teferi,ET,2022-02-04 06:17:30,6.9833,35.5833,74.64,45,100,1.21
102,Athabasca,CA,2022-02-04 06:15:07,54.7169,-113.2854,-7.91,87,100,8.52
103,Pevek,RU,2022-02-04 06:17:30,69.7008,170.3133,-20.0,100,89,2.33
104,Sioux Lookout,CA,2022-02-04 06:17:31,50.1001,-91.917,-9.02,77,75,4.61
105,Nanortalik,GL,2022-02-04 06:17:31,60.1432,-45.2371,25.32,90,100,21.07
106,Namibe,AO,2022-02-04 06:17:32,-15.1961,12.1522,71.13,75,39,3.98
107,Katsuura,JP,2022-02-04 06:17:32,35.1333,140.3,46.51,68,99,5.32
108,Safaga,EG,2022-02-04 06:17:33,26.7292,33.9365,58.14,46,1,13.69
109,Eyl,SO,2022-02-04 06:17:33,7.9803,49.8164,78.06,54,4,17.34
110,Guarapuava,BR,2022-02-04 06:17:34,-25.3953,-51.4581,63.59,100,100,2.73
111,Ilulissat,GL,2022-02-04 06:17:34,69.2167,-51.1,17.62,73,40,13.8
112,Norman Wells,CA,2022-02-04 06:17:35,65.282,-126.8329,-45.36,59,20,3.44
113,Sibolga,ID,2022-02-04 06:17:37,1.7427,98.7792,80.85,81,75,3.04
114,Akranes,IS,2022-02-04 06:17:37,64.3218,-22.0749,28.96,67,76,16.11
115,Pozo Colorado,PY,2022-02-04 06:17:37,-23.4923,-58.7972,78.64,75,60,6.33
116,Touros,BR,2022-02-04 06:17:38,-5.1989,-35.4608,77.9,76,55,12.93
117,Hithadhoo,MV,2022-02-04 06:17:38,-0.6,73.0833,82.11,73,100,10.83
118,Romny,UA,2022-02-04 06:17:39,50.751,33.4747,17.02,95,95,10.0
119,Colares,PT,2022-02-04 06:17:39,38.7992,-9.4469,53.89,75,99,1.01
120,Qasigiannguit,GL,2022-02-04 06:17:40,68.8193,-51.1922,17.85,96,100,2.35
121,Price,US,2022-02-04 06:17:40,39.5994,-110.8107,18.12,67,0,5.75
122,Lompoc,US,2022-02-04 06:17:41,34.6391,-120.4579,50.56,93,0,4.61
123,Argentan,FR,2022-02-04 06:17:42,48.75,-0.0167,45.32,85,99,10.4
124,Praxedis Guerrero,MX,2022-02-04 06:17:43,31.3667,-106.0167,27.28,64,11,7.74
125,Sola,VU,2022-02-04 06:17:43,-13.8833,167.55,81.27,78,100,0.0
126,Waingapu,ID,2022-02-04 06:13:56,-9.6567,120.2641,88.02,64,67,16.58
127,Butaritari,KI,2022-02-04 06:17:44,3.0707,172.7902,82.56,75,6,15.57
128,Sitka,US,2022-02-04 06:17:45,57.0531,-135.33,46.29,76,100,21.85
129,Zeya,RU,2022-02-04 06:17:46,53.75,127.2667,4.55,55,51,6.6
130,Diplo,PK,2022-02-04 06:17:46,24.4667,69.584,74.5,33,0,12.48
131,Vestmannaeyjar,IS,2022-02-04 06:14:22,63.4427,-20.2734,29.03,68,17,32.08
132,San Juan De La Maguana,DO,2022-02-04 06:17:47,18.8059,-71.2299,65.34,91,15,3.8
133,Mahebourg,MU,2022-02-04 06:15:51,-20.4081,57.7,83.25,89,75,23.02
134,Caxito,AO,2022-02-04 06:17:48,-8.5785,13.6643,73.63,82,100,3.69
135,Ekhabi,RU,2022-02-04 06:17:48,53.5102,142.9671,3.81,91,100,21.34
136,Petropavlovsk-Kamchatskiy,RU,2022-02-04 06:18:49,53.0452,158.6483,28.99,51,75,15.66
137,Lagoa,PT,2022-02-04 06:18:37,39.05,-27.9833,57.34,80,87,11.12
138,Presidencia Roque Saenz Pena,AR,2022-02-04 06:18:50,-26.7852,-60.4388,71.91,85,9,4.79
139,Conde,BR,2022-02-04 06:18:50,-7.2597,-34.9075,74.66,94,20,2.3
140,Provideniya,RU,2022-02-04 06:18:51,64.3833,-173.3,0.84,64,4,22.06
