City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Dikson,RU,73.5069,80.5464,-6.47,91,100,7.25,overcast clouds
142,Tiksi,RU,71.6872,128.8694,-20.92,98,100,6.96,overcast clouds
143,Nikolskoye,RU,59.7035,30.7861,21.7,92,100,13.91,light snow
144,Lompoc,US,34.6391,-120.4579,56.19,78,0,5.75,clear sky
145,Lat Yao,TH,15.751,99.7893,88.52,36,92,8.88,overcast clouds
146,Acapulco,MX,16.8634,-99.8901,73.22,88,0,2.3,clear sky
147,Adrar,MR,20.5022,-10.0711,59.85,14,99,9.22,overcast clouds
148,Hualmay,PE,-11.0964,-77.6139,69.46,85,100,7.63,overcast clouds
149,Bluff,NZ,-46.6,168.3333,55.8,59,70,6.13,broken clouds
150,Raudeberg,NO,61.9875,5.1352,37.87,78,99,8.99,light snow
151,Tazovskiy,RU,67.4667,78.7,4.28,96,100,8.1,overcast clouds
152,Santiago Del Estero,AR,-27.7951,-64.2615,69.44,86,4,2.66,clear sky
153,Alvik,SE,60.7477,14.8746,29.93,82,14,7.49,few clouds
154,Araouane,ML,18.9048,-3.5265,57.88,15,0,10.54,clear sky
155,Fortuna,US,40.5982,-124.1573,43.72,93,75,0.0,broken clouds
156,Balaipungut,ID,1.05,101.2833,82.81,79,100,2.77,heavy intensity rain
157,Iracoubo,GF,5.4802,-53.2011,75.4,91,29,8.52,scattered clouds
158,Traralgon,AU,-38.1833,146.5333,75.85,47,0,8.97,clear sky
159,Severo-Kurilsk,RU,50.6789,156.125,29.34,90,100,10.96,light snow
160,Moron,AR,-34.6534,-58.6198,71.96,81,75,20.71,moderate rain
161,Kyra,RU,49.5776,111.9753,18.37,64,57,11.68,broken clouds
162,Yumen,CN,40.2833,97.2,22.23,27,100,18.63,overcast clouds
163,Piacabucu,BR,-10.4056,-36.4344,76.77,80,61,8.32,broken clouds
164,Lakes Entrance,AU,-37.8811,147.981,70.16,63,60,13.18,broken clouds
165,Seoul,KR,37.5683,126.9778,29.59,43,99,14.72,overcast clouds
166,Baruun-Urt,MN,46.6806,113.2792,12.65,72,4,9.06,clear sky
167,Jerez,GT,14.1,-89.75,63.39,87,0,4.5,clear sky
168,Akhmeta,GE,42.0311,45.2075,36.12,40,7,18.99,clear sky
169,Vadso,NO,70.0744,29.7487,14.88,85,100,24.79,light snow
170,Muravlenko,RU,63.7898,74.523,-0.65,96,9,10.22,clear sky
171,Chuy,UY,-33.6971,-53.4616,67.46,96,100,3.62,overcast clouds
172,Klaksvik,FO,62.2266,-6.589,34.72,72,100,14.0,overcast clouds
173,Ginda,IN,30.6945,78.4932,45.57,32,0,6.6,clear sky
174,Leningradskiy,RU,69.3833,178.4167,-19.73,95,37,6.87,scattered clouds
175,Lebu,CL,-37.6167,-73.65,56.3,90,3,16.91,clear sky
176,Te Anau,NZ,-45.4167,167.7167,57.76,58,1,6.62,clear sky
177,Marawi,PH,7.9986,124.2928,74.64,69,80,8.32,broken clouds
178,Helong,CN,42.5397,128.9972,10.09,64,93,12.08,overcast clouds
179,Patrocinio,BR,-18.9439,-46.9925,69.96,93,41,0.89,scattered clouds
180,Kresttsy,RU,58.2452,32.5165,13.95,89,100,10.83,overcast clouds
181,Cotonou,BJ,6.3654,2.4183,77.92,82,1,4.34,clear sky
182,Horodyshche,UA,49.2849,31.4451,21.51,89,100,8.12,overcast clouds
183,Anage,BR,-14.6122,-41.1356,69.71,92,71,2.19,broken clouds
184,San Luis,AR,-33.295,-66.3356,62.31,69,100,10.94,overcast clouds
185,Utinga,BR,-5.8172,-35.3954,74.25,94,20,3.44,few clouds
186,Obo,CF,5.3998,26.4869,78.22,17,97,10.87,overcast clouds
187,Tautira,PF,-17.7333,-149.15,80.01,69,8,15.28,clear sky
188,Sault Sainte Marie,CA,46.5168,-84.3333,1.96,65,0,0.0,clear sky
189,Guanhaes,BR,-18.775,-42.9325,66.81,99,100,1.54,overcast clouds
190,Prado,BR,-17.3411,-39.2208,75.34,89,100,8.99,overcast clouds
191,Christchurch,NZ,-43.5333,172.6333,55.9,91,100,3.44,light rain
192,Beloha,MG,-25.1667,45.05,88.09,52,100,19.71,overcast clouds
193,Saint George,US,37.1041,-113.5841,37.8,39,0,1.01,clear sky
194,Saint Anthony,US,45.0205,-93.218,-1.17,74,40,1.99,scattered clouds
195,Grong,NO,64.4654,12.3149,32.25,96,99,13.27,light snow
196,Menzelinsk,RU,55.7271,53.1026,26.91,93,100,6.31,overcast clouds
197,Coahuayana,MX,18.7333,-103.6833,65.86,76,0,3.38,clear sky
198,New Norfolk,AU,-42.7826,147.0587,68.9,50,100,3.0,overcast clouds
199,Henties Bay,NA,-22.116,14.2845,67.86,80,39,4.85,scattered clouds
200,Barra,BR,-11.0894,-43.1417,74.97,67,100,5.66,overcast clouds
201,Caravelas,BR,-17.7125,-39.2481,75.78,83,100,5.55,overcast clouds
202,Young,UY,-32.6833,-57.6333,69.22,83,100,4.9,overcast clouds
203,Fernley,US,39.608,-119.2518,42.3,44,100,2.37,overcast clouds
204,Inhambane,MZ,-23.865,35.3833,82.47,67,32,14.05,light rain
205,Bogalusa,US,30.791,-89.8487,33.85,80,100,10.36,overcast clouds
206,Iqaluit,CA,63.7506,-68.5145,-27.18,95,100,3.0,overcast clouds
207,Palampur,IN,32.1167,76.5333,49.84,58,0,5.12,clear sky
208,Provideniya,RU,64.3833,-173.3,0.7,72,0,10.0,clear sky
209,The Valley,AI,18.217,-63.0578,75.09,73,100,18.48,overcast clouds
210,Kendari,ID,-3.945,122.4989,86.45,63,36,7.54,scattered clouds
211,Aswan,EG,24.0934,32.907,56.84,44,0,14.34,clear sky
212,Thompson,CA,55.7435,-97.8558,-36.4,100,25,0.98,scattered clouds
213,Macae,BR,-22.3708,-41.7869,72.57,95,96,9.86,overcast clouds
214,Taoudenni,ML,22.6783,-3.9836,60.58,16,100,9.73,overcast clouds
215,Shebunino,RU,46.4339,141.8603,21.11,86,100,22.66,light snow
216,Zhanakorgan,KZ,43.9098,67.2495,38.95,74,82,6.06,broken clouds
217,Ukiah,US,39.1502,-123.2078,47.01,75,0,0.0,clear sky
218,Lorengau,PG,-2.0226,147.2712,83.43,71,100,9.55,overcast clouds
219,Harper,LR,4.375,-7.7169,77.38,86,100,2.35,light rain
220,Hurghada,EG,27.2574,33.8129,59.4,52,0,17.36,clear sky
221,Strangnas,SE,59.3774,17.0312,33.08,84,15,10.76,few clouds
222,Padang,ID,-0.9492,100.3543,84.25,82,78,3.33,broken clouds
223,Pasni,PK,25.2631,63.471,72.73,46,0,9.48,clear sky
224,Northam,GB,51.0333,-4.2167,46.62,80,75,14.67,broken clouds
225,Imbituba,BR,-28.24,-48.6703,78.69,95,100,6.44,overcast clouds
226,Boende,CD,-0.2167,20.8667,80.92,56,94,3.85,overcast clouds
227,Yulara,AU,-25.2406,130.9889,89.44,14,0,9.22,clear sky
228,Aklavik,CA,68.2191,-135.0107,-28.03,93,6,16.2,clear sky
229,Sayyan,YE,15.1718,44.3244,63.97,29,98,2.06,overcast clouds
230,Georgetown,MY,5.4112,100.3354,89.53,70,20,10.36,few clouds
231,Fairbanks,US,64.8378,-147.7164,6.1,80,100,0.0,mist
232,Geraldton,AU,-28.7667,114.6,104.41,11,0,16.11,clear sky
233,Gaptsakh,RU,41.4517,47.9303,28.98,96,100,5.35,light snow
234,Kaitangata,NZ,-46.2817,169.8464,55.92,65,29,5.61,scattered clouds
235,Buala,SB,-8.145,159.5921,83.48,80,61,6.24,light rain
236,Kavaratti,IN,10.5669,72.642,78.21,59,5,6.69,clear sky
237,Ahipara,NZ,-35.1667,173.1667,71.29,97,100,10.18,light rain
238,Manta,EC,-0.95,-80.7333,76.78,83,20,1.14,few clouds
239,Chapais,CA,49.7834,-74.8492,-14.31,98,100,3.2,overcast clouds
240,Baykit,RU,61.67,96.37,18.75,92,100,4.81,overcast clouds
241,Guilin,CN,25.2819,110.2864,56.25,49,0,5.68,clear sky
242,Upernavik,GL,72.7868,-56.1549,-1.16,93,100,4.09,overcast clouds
243,Lasa,IT,46.6166,10.7002,29.3,90,54,7.54,broken clouds
244,Lere,NG,10.387,8.5726,61.32,21,3,8.63,clear sky
245,Tasiilaq,GL,65.6145,-37.6368,26.76,67,100,39.44,overcast clouds
246,Fuente De Oro,CO,3.4594,-73.6128,76.37,69,72,3.2,broken clouds
247,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,9.43,94,100,9.48,overcast clouds
248,Ahvaz,IR,31.3203,48.6693,58.95,55,0,11.5,clear sky
249,Tak,TH,16.5833,98.8333,79.52,51,93,3.11,overcast clouds
250,Torbay,CA,47.6666,-52.7314,34.57,99,100,5.75,light rain
251,Black River,JM,18.0264,-77.8487,75.2,84,0,6.11,clear sky
252,Mwene-Ditu,CD,-7.0,23.45,69.93,84,100,0.96,overcast clouds
253,Rheine,DE,52.2833,7.45,39.02,82,19,15.17,few clouds
254,Bokoro,TD,12.3807,17.0568,63.84,21,100,15.75,overcast clouds
255,Cabra,ES,37.4725,-4.4421,53.4,68,100,0.81,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,80.4,76,100,6.51,overcast clouds
257,Jinxiang,CN,27.4327,120.6062,48.88,58,7,12.57,clear sky
258,Khatanga,RU,71.9667,102.5,-35.91,100,60,2.46,broken clouds
259,Tonekabon,IR,36.8163,50.8738,49.41,95,100,7.0,overcast clouds
260,Kapit,MY,2.0167,112.9333,92.23,49,98,1.39,overcast clouds
261,Herat,AF,34.5,62.0,53.15,33,100,9.73,overcast clouds
262,Kitob,UZ,39.0843,66.8332,59.58,15,0,5.28,clear sky
263,Palora,EC,-1.7,-77.9333,64.83,97,78,2.04,broken clouds
264,Hermanus,ZA,-34.4187,19.2345,72.9,63,2,21.12,clear sky
265,Kamenka,RU,51.3223,42.7678,18.75,95,90,8.93,overcast clouds
266,Abu Kamal,SY,34.4506,40.9171,53.04,60,1,14.88,clear sky
267,Thinadhoo,MV,0.5333,72.9333,82.36,71,100,11.95,overcast clouds
268,Satipo,PE,-11.2522,-74.6386,67.89,99,96,1.54,overcast clouds
